Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2021-06-23,23.430278945061946,21.61425622380171,20.66233079632017,20.244289755679606,21.17043934631765,28.658277632569302,38.581376129061475,45.13797822799315,47.525862332827955,47.50704140267155,50.800231638633015,50.57251891563045,47.26305336071428,46.14427450751795,46.253824783668506,44.4668985673859,44.47034587878276,45.17472858168245,47.02123481825255,45.23486338456608,43.721851603587304,42.1769214438709,39.54602878244329,30.45497100831185
2021-06-24,28.225829776763135,26.41428157590916,25.617381734043462,25.64423181894203,24.868081744536592,31.253987796649053,40.84923699976242,47.21997345610824,49.09653868056161,50.70288082769862,48.555133520289274,50.864656689397286,48.6836644168968,46.500970610487826,45.722479283054,44.631425611532634,44.29747790710436,46.26591398994476,45.20489481520637,45.80591123894927,44.96071671487115,43.684901796210035,41.57568357010893,31.287560397978666
2021-06-25,28.73218201656228,27.45836908212595,25.97608321625851,25.706844174818855,26.155955986775655,29.535997820050902,34.2460303607133,38.99374383030767,43.58281800424814,41.95618358725981,41.8680049126126,42.5728429153772,41.1049859599973,40.08471258531798,39.196958886019374,38.0270093130513,38.53323760693737,39.32806670674394,39.299349520612395,37.86359511979855,37.078106284380524,36.52734680836093,34.47463638360758,29.46560677513812
2021-06-26,25.572017104829598,24.280973080694267,23.03193111475853,23.82947206066965,23.72655994086934,23.502781952131528,23.841317926592005,23.68126884825888,27.75870681434747,28.723275174088442,30.81908771310654,32.66796430131399,29.984798171970283,30.325401525739885,28.18986757016319,27.123831929939136,28.331495495783045,31.4966358521503,32.852597577364705,32.48043355466991,32.36580416414683,31.998872905155245,29.8624608326841,27.13945008031026
2021-06-27,28.347705378260702,26.89750437815029,25.793889231802012,25.284218640247918,25.466373505695003,27.725173212317948,26.65764598324712,27.232829384311856,35.07030059241338,31.2751145794686,33.79649900405029,34.55479586454292,33.72788679968741,33.185866959350165,32.50794127930536,32.88921660042729,33.239424484952785,34.38116239546394,35.63816643673925,34.15198928429487,33.20332435327902,32.67077877108271,31.244035529165227,28.982786297613785
2021-06-28,30.124768848026367,28.48330609798309,27.329577312350203,26.903135244601202,26.90316134389769,30.35759824826926,35.60594190959769,37.13926864324534,44.15622232569182,41.813690275128764,40.728894348977356,40.155747753459174,42.894925135798026,41.821639391715735,41.213094053851584,40.71820749199236,38.218139913961444,41.72036043551788,38.64175235115111,41.37723040153515,39.456543117522855,37.8437839834026,34.805517799648236,30.48827196406636
2021-06-29,33.197347615761274,31.77348849765188,30.590952330368854,30.1006777590802,30.24705797491998,36.35424494948931,46.553169469964274,50.820224524079315,52.094987356635656,54.09960486985531,52.16611924922399,56.47646196399375,54.29033790784968,51.11605305869314,51.621468669070936,49.917532079686,48.91130320075747,51.281512318793304,49.70306204131964,49.44262125566088,47.61538842284638,46.27582057494584,43.63059634135098,35.3101158045371
2021-06-30,33.31589262920667,31.960309486422577,31.00652376759591,30.97713420826766,31.202745080016324,36.12376829248818,45.44554545922863,50.815095400883166,52.55157470973528,54.10065464924362,52.532318848756454,55.70241017978309,51.589147790209495,50.976766299894834,50.201796045085345,49.11414055915877,48.05083162979204,51.26370209203591,49.09477237371544,49.56224717419167,49.21188349184152,47.547033375389525,45.19908777206076,36.09296519238886
2021-07-01,36.11050127339676,34.51174780721862,33.112025695987256,32.7272346349761,33.06337844556404,36.987779808563225,41.66443876860478,48.23754697712159,52.51982208671761,51.41028680457478,50.711843626082455,49.968736297957776,49.583183479371016,48.3775810125584,47.14134489569193,46.08333678856975,47.381631003351664,48.32419109273129,47.786063914125236,45.53983409133019,43.915618606591984,43.30913974317516,40.123879508075454,34.72849926689952
2021-07-02,36.201592305791124,34.57141743758362,33.139936354659085,32.33751767512083,32.90976122906824,36.091906179923704,40.032296114981925,44.49865005399762,47.03730354781485,46.92634922287122,47.517556905013016,46.488995059411195,46.16121338371677,45.18319271202346,44.68273550595822,42.915907966476816,42.65465470878203,43.95434740893172,43.8002396624935,42.669039075025616,41.67588818687726,41.146590822342674,39.314618879489,36.86818183308011
2021-07-03,39.25255359847092,38.17195142292113,36.67551130539462,36.139256897588425,35.844250794257576,36.81396961592115,39.53213132147882,42.46469151418142,49.26541844242015,46.61491838284108,47.41943459645962,47.32974655607433,47.2961312147866,45.909189355146346,44.65038142284997,43.88988642360349,44.39964765678562,46.4679881255107,45.97911418778758,46.40401894839099,45.23754924373411,44.515112797254524,42.100335448802596,37.91872075720244
2021-07-04,38.6671264603261,37.15214882243127,36.602492422802506,35.634437313392105,35.11545439929152,35.59829097235035,37.235353128280245,40.454726816505946,49.217969351436196,45.774999199716234,46.18095857785215,47.05933423326165,46.32905034601489,45.673809318193584,45.61574920759385,43.83210397946023,44.47432398872337,46.69867215120797,46.26408681848938,45.28090165655186,43.07726366983193,40.826619531458725,40.98130494849315,36.992495444152816
2021-07-05,50.899958395782555,48.59086089216545,47.52660137274775,46.541763214224424,45.5070355809581,47.271604852483854,55.827351822588824,57.95912868381881,67.6341262114568,64.5869565577436,66.92487713036603,70.98258109061948,60.888218846986675,60.65895759529249,66.41935158798867,66.31133058875922,65.17713865684024,62.04239850222508,57.06238056643072,57.42893421143356,54.806175747428355,53.587311637162614,51.87719703980022,46.80647663387845
